CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,Domain Name,Parent,Customer priority,Income Level,Education Category,Full Name,Birth Year
21218,Mr.,Wyatt,Rodriguez,13-Jun-63,S,M,wyatt21@adventure-works.com,70000,0,Bachelors,Professional,N,Adventure      Works,No,Standard,Average,Undergrad,Mr. Wyatt Rodriguez,1963
21213,Mr.,Peter,Black,16-Nov-64,S,M,peter25@adventure-works.com,70000,0,Bachelors,Professional,N,Adventure      Works,No,Standard,Average,Undergrad,Mr. Peter Black,1964
21212,Mr.,Nicolas,Lal,23-Nov-64,S,M,nicolas6@adventure-works.com,70000,0,Bachelors,Professional,N,Adventure      Works,No,Standard,Average,Undergrad,Mr. Nicolas Lal,1964
21190,Mr.,Pablo,Rovira Diez,23-Feb-63,S,M,pablo0@adventure-works.com,70000,0,Bachelors,Professional,N,Adventure      Works,No,Standard,Average,Undergrad,Mr. Pablo Rovira Diez,1963
21186,Mr.,Randall,Vazquez,04-Feb-65,S,M,randall16@adventure-works.com,70000,0,Bachelors,Professional,N,Adventure      Works,No,Standard,Average,Undergrad,Mr. Randall Vazquez,1965
21184,Mr.,Harold,Rodriguez,17-Aug-68,S,M,harold16@adventure-works.com,70000,0,Bachelors,Professional,N,Adventure      Works,No,Standard,Average,Undergrad,Mr. Harold Rodriguez,1968
21209,Mr.,Randall,Moreno,19-Jun-65,S,M,randall7@adventure-works.com,70000,0,Bachelors,Professional,N,Adventure      Works,No,Standard,Average,Undergrad,Mr. Randall Moreno,1965
20600,Mr.,Dennis,Hu,28-Jan-75,S,M,dennis22@adventure-works.com,70000,0,Bachelors,Professional,N,Adventure      Works,No,Standard,Average,Undergrad,Mr. Dennis Hu,1975
20602,Mr.,Casey,Moreno,27-Aug-76,S,M,casey30@adventure-works.com,70000,0,Bachelors,Professional,N,Adventure      Works,No,Standard,Average,Undergrad,Mr. Casey Moreno,1976
22948,Mr.,Lucas,Turner,04-Jul-64,S,M,lucas6@adventure-works.com,70000,0,Bachelors,Professional,N,Adventure      Works,No,Standard,Average,Undergrad,Mr. Lucas Turner,1964
22954,Mr.,Justin,Thompson,04-Mar-63,S,M,justin43@adventure-works.com,70000,0,Bachelors,Professional,N,Adventure      Works,No,Standard,Average,Undergrad,Mr. Justin Thompson,1963
23212,Mr.,James,Jones,16-Apr-68,S,M,james78@adventure-works.com,70000,0,Bachelors,Professional,N,Adventure      Works,No,Standard,Average,Undergrad,Mr. James Jones,1968
23213,Mr.,Noah,Green,15-Feb-68,S,M,noah40@adventure-works.com,70000,0,Bachelors,Professional,N,Adventure      Works,No,Standard,Average,Undergrad,Mr. Noah Green,1968
21875,Mr.,Cedric,Nara,17-Aug-76,S,M,cedric35@adventure-works.com,70000,0,Bachelors,Professional,N,Adventure      Works,No,Standard,Average,Undergrad,Mr. Cedric Nara,1976
